Id,Company,Location_HQ,Country,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_Layoffs,Industry,Stage,Money_Raised_in__mil
1,&Open,"San Francisco",USA,400,2022-11-10,30.00,1333,933,Consumer,Unknown,1500
2,"Akili Labs",Dublin,Ireland,130,2023-03-21,10.00,1300,1170,HR,Unknown,131
3,"Akili Labs",Karlsruhe,Germany,65,2023-01-30,13.00,500,435,Retail,"Series C",205
4,Alameda,Alameda,USA,40,2020-04-05,25.00,160,120,Aerospace,Unknown,100
5,AlayaCare,"Belo Horizonte",Brazil,227,2022-10-20,12.00,1892,1665,Marketing,"Series C",127
6,AlayaCare,"San Francisco Bay Area",USA,70,2022-08-31,10.00,700,630,Finance,Post-IPO,1300
7,&Open,"San Luis Obispo",USA,400,2022-10-26,15.00,2667,2267,Fitness,Post-IPO,114
8,Albert,London,"United Kingdom",138,2022-02-10,12.00,1150,1012,Other,"Series D",1000
9,#Paid,Chicago,USA,81,2023-04-17,15.00,540,459,Finance,"Series D",304
10,#Paid,"New York City",USA,27,2022-12-07,18.00,150,123,Finance,"Series C",115
11,Albert,"New York City",USA,115,2022-08-02,37.00,311,196,Security,Post-IPO,342
12,Alice,"New York City",USA,110,2022-11-06,5.00,2200,2090,Security,Post-IPO,30
13,"10X Genomics",Bengaluru,India,130,2022-10-12,75.00,173,43,Education,"Series A",17
14,Alice,Stockholm,Sweden,600,2023-01-23,6.00,10000,9400,Media,Post-IPO,2100
15,"10X Genomics",London,"United Kingdom",480,2022-07-13,30.00,2080,1600,Transportation,Post-IPO,629
16,"AliExpress Russia","New York City",USA,70,2020-05-14,10.00,700,630,Marketing,Acquired,116
17,"AliExpress Russia","New York City",USA,115,2022-08-02,37.00,311,196,Security,Post-IPO,342
18,1stdibs,Boston,USA,340,2020-04-07,53.00,642,302,Healthcare,Post-IPO,438
19,1stdibs,"San Francisco Bay Area",USA,35,2020-04-02,19.00,184,149,HR,"Series E",114
20,Auckland,Auckland,"New Zealand",200,2023-07-28,31.00,645,445,Transportation,Unknown,46
21,23andMe,Denver,USA,67,2023-07-19,24.00,279,212,Finance,"Series B",111
22,23andMe,Raleigh,USA,100,2023-06-12,12.00,833,733,Product,"Series F",469
23,23andMe,"Sao Paulo",Brazil,355,2023-03-01,6.00,5917,5562,Food,Subsidiâ€¦,2100
24,Audible,Boston,USA,60,2020-04-03,13.00,462,402,Retail,"Series D",97
25,Audible,"San Jose",USA,360,2023-09-06,10.00,3600,3240,Media,Post-IPO,208
26,AudioCodes,Bengaluru,India,4,2023-07-10,100.00,4,0,Education,"Series A",17
27,AudioCodes,"New York City",USA,80,2022-12-15,31.00,258,178,Other,"Series C",379
28,AudioCodes,"New York City",USA,225,2023-12-13,11.00,2045,1820,Retail,Post-IPO,97
29,23andMe,Singapore,Singapore,65,2022-12-20,24.00,271,206,Food,"Series E",50
30,AudioCodes,"Washington DC",USA,63,2023-05-18,14.00,450,387,Finance,"Series D",621
31,2TM,"New Delhi",India,30,2022-10-21,30.00,100,70,Healthcare,"Series A",4
32,Augury,Florianopolis,Brazil,70,2022-07-13,18.00,389,319,Retail,Unknown,23
33,2TM,Portland,USA,40,2022-09-06,33.00,121,81,Healthcare,"Series B",42
34,Augury,Madison,USA,100,2023-03-14,10.00,1000,900,Retail,"Series E",581
35,2TM,Toronto,Canada,30,2022-06-20,55.00,55,25,Retail,"Series A",27
36,Augury,Milwaukee,USA,200,2024-01-02,100.00,200,NULL,Travel,Unknown,26
37,Alteryx,"Mountain View",USA,340,2023-05-12,30.00,1133,793,Transportation,"Series D",2100
38,2TM,Vienna,Austria,270,2022-06-24,27.00,1000,730,Crypto,"Series C",546
39,Augury,"San Francisco Bay Area",USA,100,2023-01-11,6.00,1667,1567,Security,"Private Equity â€¦",205
40,Alteryx,"San Francisco Bay Area",USA,20,2023-10-11,20.00,100,80,AI,"Series B",86
41,54gene,"Sao Paulo",Brazil,100,2022-09-01,15.00,667,567,Crypto,Unknown,250
42,"Alto Pharmacy",Bengaluru,India,100,2022-05-30,10.00,1000,900,Consumer,"Series E",375
43,54gene,Stockholm,Sweden,70,2022-09-15,15.00,467,397,Media,Post-IPO,126
44,6sense,Bengaluru,India,130,2022-10-12,75.00,173,43,Education,"Series A",17
45,"Alto Pharmacy","New York City",USA,500,2020-05-07,100.00,500,NULL,Transportation,Acquired,11
46,6sense,"Hong Kong","Hong Kong",30,2022-07-05,8.00,375,345,Crypto,Unknown,300
47,Amazon,Austin,USA,56,2023-02-01,28.00,200,144,Healthcare,"Series C",215
48,7Shifts,Austin,USA,1000,2024-05-13,8.00,12500,11500,HR,Acquired,5
49,Amazon,Boston,USA,27,2022-07-05,7.00,386,359,Security,"Series A",583
50,7Shifts,"Los Angeles",USA,60,2024-03-28,20.00,300,240,Food,"Series C",64
51,Amazon,Gurugram,India,25,2023-01-05,15.00,167,142,Retail,"Series B",62
52,Amazon,"San Francisco Bay Area",USA,48,2022-12-01,16.00,300,252,Product,"Series D",212
53,Amazon,Seattle,USA,130,2023-01-25,15.00,867,737,Legal,"Series D",171
54,7shifts,"Menlo Park",USA,150,2023-06-26,7.00,2143,1993,Finance,Post-IPO,5600
55,7shifts,"San Francisco Bay Area",USA,100,2023-08-08,10.00,1000,900,Healthcare,Post-IPO,82
56,Amazon,Seattle,USA,131,2023-09-26,33.00,397,266,Logistics,"Series D",263
57,8x8,Boston,USA,170,2023-04-07,92.00,185,15,Healthcare,Post-IPO,409
58,"American Robotics",Chicago,USA,54,2022-07-14,15.00,360,306,HR,"Series C",115
59,Bengaluru,Bengaluru,India,150,2024-08-31,75.00,200,50,Food,Unknown,458
60,8x8,Dover,USA,76,2022-11-16,23.00,330,254,Other,"Series B",56
61,8x8,"Frankfurt am Main",Germany,200,2023-01-31,4.00,5000,4800,Data,Post-IPO,344
62,"American Robotics",Gurugram,India,100,2023-03-30,75.00,133,33,Consumer,"Series B",50
63,8x8,Stockholm,Sweden,300,2022-10-31,10.00,3000,2700,Healthcare,"Series D",568
64,Amount,Austin,USA,180,2022-12-15,13.00,1385,1205,Retail,Post-IPO,224
65,Amount,"Sao Paulo",Brazil,28,2022-07-22,22.00,127,99,Finance,"Series A",15
66,Amperity,Boston,USA,160,2022-09-13,75.00,213,53,Healthcare,Post-IPO,445
67,99,"San Francisco",USA,85,2022-07-01,100.00,85,NULL,Travel,"Series B",26
68,Amperity,"Washington DC",USA,90,2022-06-22,35.00,257,167,Security,Post-IPO,410
69,99,Sydney,Australia,20,2022-07-26,6.00,333,313,Crypto,"Series C",279
70,Amplero,Boston,USA,30,2020-03-27,20.00,150,120,Food,"Series C",60
71,Abra,Nairobi,Kenya,54,2022-08-11,9.00,600,546,Retail,"Series A",42
72,Abra,"San Francisco Bay Area",USA,150,2022-04-28,19.00,789,639,Education,"Series D",130
73,Absci,Boston,USA,100,2023-05-31,25.00,400,300,Other,"Series B",216
74,Aura,Boston,USA,110,2022-06-15,25.00,440,330,Legal,"Series D",213
75,Amplero,Munich,Germany,100,2020-04-02,25.00,400,300,Fitness,"Series D",109
76,Aura,"Tel Aviv",Israel,20,2022-08-08,5.00,400,380,Marketing,Post-IPO,76
77,Bengaluru,Bengaluru,India,160,2023-05-12,35.00,457,297,Finance,Acquired,21
78,Absci,Seattle,USA,99,2024-01-08,38.00,260,161,Logistics,"Series D",263
79,"Aurora Solar",Dover,USA,30,2024-06-05,10.00,300,270,Crypto,Unknown,651
80,Bengaluru,Bengaluru,India,170,2022-06-30,100.00,170,NULL,Education,Seed,3
81,Acast,"San Francisco Bay Area",USA,180,2022-11-15,9.00,2000,1820,Other,Post-IPO,453
82,Acast,"Tel Aviv",Israel,17,2022-10-25,50.00,34,17,HR,Seed,15
83,Bengaluru,Bengaluru,India,170,2022-06-30,100.00,170,0,Education,Seed,3
84,"Aurora Solar",Toronto,Canada,20,2024-01-30,10.00,200,180,Media,Acquired,117
